,,,,,Balanso forma,
 III.3.,Kiti rezervai,,,,,
IV.,NEPASKIRSTYTASIS PELNAS (NUOSTOLIAI),,,, (125), (2141)
 IV.1.,Ataskaitinių metų pelnas (nuostoliai),,,, 2016 , (684)
 IV.2.,Ankstesnių metų pelnas (nuostoliai),,,, (2141), (1457)
D.,"DOTACIJOS, SUBSIDIJOS",,,12, 181179 , 176058 
E.,MOKĖTINOS SUMOS IR ĮSIPAREIGOJIMAI,,,, 51499 , 56379 
I.,PO VIENERIŲ METŲ MOKĖTINOS SUMOS IR ILGALAIKIAI ĮSISPAREIGOJIMAI,,,, 30109 , 38005 
,,,,,,
 I.1.,Finansinės skolos,,,13, 27290 , 35617 
  I.1.1.,Lizingo (finansinės nuomos) ar panašūs įsipareigojimai,,,14,, 191 
  I.1.2.,Kredito įstaigoms,,,, 27290 , 35426 
  I.1.3.,Kitos finansinės skolos,,,,,
 I.2.,Skolos tiekėjams,,,,,
 I.3.,Gauti išankstiniai apmokėjimai,,,,,
 I.4.,Atidėjiniai,,,17, 604 , 497 
  I.4.1.,Įsipareigojimų ir reikalavimų padengimo,,,,,
  I.4.2.,Pensijų ir panašių įsipareigojimų,,,, 604 , 497 
  I.4.3. ,Kiti atidėjiniai,,,,,
 I.5.,Atidėtojo mokesčio įsipareigojimas,,,23, 2215 , 1891 
 I.6.,Kitos mokėtinos sumos ir ilgalaikiai įsipareigojimai,,,,,
II.,PER VIENERIUS METUS MOKĖTINOS SUMOS IR TRUMPALAIKIAI ĮSIPAREIGOJIMAI,,,, 21390 , 18374 
,,,,,,
 II.1.,Ilgalaikių skolų  einamųjų metų dalis,,,13;14, 8586 , 8707 
 II.2.,Finansinės skolos,,,, -   , -   
  II.2.1.,Kredito įstaigoms,,,,,
  II.2.2.,Kitos skolos,,,,,
 II.3.,Skolos tiekėjams,,,15, 7360 , 5294 
 II.4.,Gauti išankstiniai apmokėjimai,,,, 369 , 354 
 II.5.,Pelno mokesčio įsipareigojimai,,,, 284 ,
 II.6.,Su darbo santykiais susiję įsipareigojimai,,,17, 2816 , 2272 
 II.7.,Atidėjiniai,,,,, 137 
 II.8.,Kitos mokėtinos sumos ir trumpalaikiai įsipareigojimai,,,16;18, 1975 , 1610 
,NUOSAVO KAPITALO IR ĮSIPAREIGOJIMŲ IŠ VISO:,,,, 615998 , 611798 
,,,,,,
,Generalinis direktorius,, __________ ,Linas Baltrėnas,,
(įmonės vadovo pareigų pavadinimas),,, (parašas) ,(vardas ir pavardė),,
,, ,,,,
,Vyriausioji finansininkė,, __________ ,Daiva Vėberienė,,
(vyriausiojo buhalterio (buhalterio),,, (parašas) ,(vardas ir pavardė),,
arba galinčio tvarkyti apskaitą  kito,,,,,,
 asmens pareigų pavadinimas),,,,,,
