,,,,,Balanso forma,
 III.3.,Kiti rezervai,,,,,
IV.,NEPASKIRSTYTASIS PELNAS (NUOSTOLIAI),,,, 7813 , (125)
 IV.1.,Ataskaitinių metų pelnas (nuostoliai),,,, 7832 , 2016 
 IV.2.,Ankstesnių metų pelnas (nuostoliai),,,, (19), (2141)
D.,"DOTACIJOS, SUBSIDIJOS",,,12, 190890 , 181179 
E.,MOKĖTINOS SUMOS IR ĮSIPAREIGOJIMAI,,,, 39761 , 51499 
I.,PO VIENERIŲ METŲ MOKĖTINOS SUMOS IR ILGALAIKIAI ĮSISPAREIGOJIMAI,,,, 21319 , 30109 
,,,,,,
 I.1.,Finansinės skolos,,,, 19220 , 27290 
  I.1.1.,Lizingo (finansinės nuomos) ar panašūs įsipareigojimai,,,,,
  I.1.2.,Kredito įstaigoms,,,13, 19220 , 27290 
  I.1.3.,Kitos finansinės skolos,,,,,
 I.2.,Skolos tiekėjams,,,,,
 I.3.,Gauti išankstiniai apmokėjimai,,,,,
 I.4.,Atidėjiniai,,,, 226 , 604 
  I.4.1.,Įsipareigojimų ir reikalavimų padengimo,,,,,
  I.4.2.,Pensijų ir panašių įsipareigojimų,,,, 226 , 604 
  I.4.3. ,Kiti atidėjiniai,,,,,
 I.5.,Atidėtojo mokesčio įsipareigojimas,,,, 1873 , 2215 
 I.6.,Kitos mokėtinos sumos ir ilgalaikiai įsipareigojimai,,,,,
II.,PER VIENERIUS METUS MOKĖTINOS SUMOS IR TRUMPALAIKIAI ĮSIPAREIGOJIMAI,,,, 18442 , 21390 
,,,,,,
 II.1.,Ilgalaikių skolų  einamųjų metų dalis,,,13, 8395 , 8586 
 II.2.,Finansinės skolos,,,, -   , -   
  II.2.1.,Kredito įstaigoms,,,,,
  II.2.2.,Kitos skolos,,,,,
 II.3.,Skolos tiekėjams,,,14, 4886 , 7360 
 II.4.,Gauti išankstiniai apmokėjimai,,,, 549 , 369 
 II.5.,Pelno mokesčio įsipareigojimai,,,22, 173 , 284 
 II.6.,Su darbo santykiais susiję įsipareigojimai,,,16, 1978 , 2816 
 II.7.,Atidėjiniai,,,,,
 II.8.,Kitos mokėtinos sumos ir trumpalaikiai įsipareigojimai,,,15;17, 2461 , 1975 
,NUOSAVO KAPITALO IR ĮSIPAREIGOJIMŲ IŠ VISO:,,,, 624785 , 615998 
,,,,,,
,Generalinis direktorius,, __________ ,Linas Baltrėnas,,
(įmonės vadovo pareigų pavadinimas),,, (parašas) ,(vardas ir pavardė),,
,, ,,,,
,Vyriausioji finansininkė,, __________ ,Daiva Vėberienė,,
(vyriausiojo buhalterio (buhalterio),,, (parašas) ,(vardas ir pavardė),,
arba galinčio tvarkyti apskaitą  kito,,,,,,
 asmens pareigų pavadinimas),,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,  ,,
